cpv_group_2,ted_notices,pcsp_contracts
45,790,15318
50,4049,7781
79,1807,7346
33,8847,7236
71,2308,5528
85,22253,5210
72,1814,4727
90,4460,4521
30,1022,4035
34,2086,3872
92,272,2673
44,1399,2581
48,1060,2162
60,2738,2108
39,899,2048
55,275,1942
66,1294,1884
31,466,1733
18,1704,1523
38,1144,1479
80,2199,1405
42,424,1329
32,425,1154
98,549,1147
35,624,1123
15,2138,1109
91,665,1038
64,351,1034
77,636,968
93,462,828
24,397,741
63,454,730
70,10,650
22,323,534
37,170,450
73,95,321
51,51,309
75,96,284
14,127,277
43,195,196
16,67,172
65,59,148
19,109,123
41,6,38
76,0,10
