DT_DISPATCH,ISO_COUNTRY_CODE,TYPE_OF_CONTRACT,CPV,LOTS_NUMBER,VALUE_EURO,CRIT_CODE,CPV_GROUP
21/12/21,ES,U,24111500.0,7.0,29037488.58,M,24
28/05/19,ES,U,39110000.0,4.0,763521.0,M,39
04/10/21,ES,U,33141200.0,1.0,379047.5,M,33
09/01/19,ES,U,34130000.0,4.0,1384297.53,M,34
10/05/21,ES,S,71421000.0,2.0,501983.2,M,71
19/12/22,ES,U,33184100.0,27.0,787848.13,M,33
17/05/19,ES,U,38000000.0,106.0,4745623.08,M,38
20/10/22,ES,S,64121200.0,1.0,1532700.0,M,64
29/09/20,ES,U,42000000.0,12.0,1420000.0,M,42
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
25/02/20,ES,S,80500000.0,5.0,,,80
06/07/20,ES,S,50700000.0,2.0,447874.8,L,50
07/09/20,ES,U,33141200.0,66.0,,M,33
16/07/21,ES,U,33122000.0,11.0,228990.0,,33
27/09/21,ES,U,33692400.0,19.0,8064324.54,M,33
06/05/19,ES,S,72500000.0,1.0,486235.06,,72
29/06/21,ES,S,80000000.0,42.0,,,80
22/01/20,ES,U,43310000.0,9.0,2346350.0,M,43
21/07/23,ES,S,90911200.0,2.0,1040774.4,M,90
18/08/22,ES,S,98341120.0,22.0,3019998.38,,98
19/09/18,ES,S,85300000.0,5.0,53494511.52,,85
13/12/22,ES,S,72512000.0,1.0,1249214.72,,72
07/02/23,ES,U,33140000.0,5.0,228605.1,M,33
26/10/18,ES,S,72267100.0,3.0,263319.0,,72
26/05/23,ES,U,33140000.0,9.0,,M,33
11/12/20,ES,U,42514310.0,3.0,824184.68,M,42
19/01/18,ES,U,33169000.0,21.0,6769220.3,,33
21/06/22,ES,S,85100000.0,16.0,,,85
26/09/23,ES,U,33000000.0,126.0,20461738.8,M,33
15/05/23,ES,S,50750000.0,1.0,424776.0,M,50
22/12/22,ES,U,18100000.0,6.0,1086316.45,L,18
15/09/20,ES,U,34144900.0,115.0,147549651.53,M,34
30/06/22,ES,U,18931100.0,2.0,4095000.0,M,18
11/09/18,ES,S,60120000.0,22.0,2520710.0,M,60
09/10/23,ES,S,79714000.0,1.0,,,79
17/05/19,ES,U,38000000.0,106.0,4745623.08,M,38
17/03/23,ES,S,60130000.0,21.0,4452170.94,M,60
03/08/20,ES,U,43800000.0,6.0,799620.0,L,43
30/12/21,ES,S,80531200.0,3.0,,,80
13/04/23,ES,S,85100000.0,11.0,,,85
14/09/20,ES,S,64210000.0,7.0,80003474.15,M,64
06/10/23,ES,S,63731000.0,1.0,291490.0,,63
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
23/09/19,ES,U,44111000.0,24.0,442063.43,L,44
17/01/22,ES,S,66110000.0,3.0,18250000.0,,66
23/03/22,ES,S,60130000.0,1.0,357540.0,,60
03/03/21,ES,S,71000000.0,14.0,1782123.96,,71
30/01/20,ES,S,71210000.0,2.0,2140000.0,,71
01/02/21,ES,S,90911200.0,10.0,2705628.03,M,90
27/08/20,ES,U,37535200.0,5.0,1239632.53,M,37
02/01/20,ES,S,90911200.0,4.0,31990200.0,M,90
15/01/21,ES,S,85300000.0,7.0,,,85
07/09/20,ES,U,33141200.0,66.0,,M,33
20/11/20,ES,S,64200000.0,5.0,39621060.0,,64
24/09/21,ES,U,33141112.0,6.0,938810.05,M,33
31/03/21,ES,S,55321000.0,33.0,52659525.64,,55
11/05/23,ES,U,33140000.0,40.0,2278892.28,M,33
29/11/19,ES,S,85311300.0,25.0,37176606.0,,85
09/12/21,ES,S,71900000.0,1.0,5643000.0,M,71
04/10/21,ES,U,35811100.0,15.0,1796425.0,,35
15/01/19,ES,U,33141121.0,198.0,11284939.2,M,33
20/12/21,ES,U,15000000.0,317.0,570037.75,M,15
21/04/21,ES,U,33141121.0,186.0,1018818.12,M,33
03/08/20,ES,U,43800000.0,6.0,799620.0,L,43
26/07/19,ES,S,60130000.0,138.0,25419238.55,M,60
30/06/21,ES,S,92620000.0,16.0,,,92
16/05/23,ES,S,60130000.0,2.0,869997.6,M,60
10/01/20,ES,S,80500000.0,15.0,5059260.0,M,80
